sales,discount,age,gender,cust_state,tenure,profit,month
1153.28,0,25,O,MA,19,57.66,7
1978.13,0,26,M,MG,16,98.91,6
1095.7,0,26,W,RJ,20,54.78,2
2404.9,25,30,W,BA,18,95.24,6
1704.8,0,38,M,PB,15,85.24,4
672.31,0,24,M,PA,21,33.62,5
1996.06,0,30,O,PR,17,99.8,8
701.71,0,29,nan,PA,11,35.09,8
2541.41,25,32,nan,MG,16,102.07,8
698.84,0,37,M,PA,20,34.94,7
2471.68,25,37,W,SP,15,98.58,5
1935.53,0,24,W,SP,22,96.78,4
1956.27,0,24,O,PR,21,97.81,10
1082.7,0,35,M,RJ,19,54.14,7
1990.56,0,32,M,CE,21,99.53,9
2719.87,0,26,M,MG,19,135.99,5
1040.58,0,26,M,PA,15,52.03,8
2254.26,0,35,W,SP,28,112.71,2
1594.48,25,24,W,MA,20,54.72,7
2332.6,0,38,M,PR,15,116.63,5
707.52,25,33,W,SE,26,10.38,7
2643.9,25,44,W,PE,24,107.2,7
2128.44,25,34,W,RJ,22,81.42,9
2071.15,25,28,W,CE,20,78.56,7
1948.48,0,20,W,SP,16,97.42,4
1172.91,0,33,M,RJ,21,58.65,6
2677.62,25,35,W,PE,23,108.88,10
1865.8,0,31,W,MG,23,93.29,4
1832.27,0,36,W,MG,21,91.61,4
730.89,25,32,W,PA,15,11.54,5
2095.23,0,25,M,RS,20,104.76,13
2614.69,25,25,W,SP,19,105.73,5
2001.09,0,21,W,PE,19,100.05,4
986.66,0,27,M,RS,20,49.33,4
1219.95,0,34,M,RJ,16,61.0,5
1241.34,0,31,O,RJ,24,62.07,5
1634.43,25,47,W,RS,22,56.72,5
3009.76,25,23,W,SP,26,125.49,6
1968.52,25,29,W,BA,21,73.43,9
3418.73,25,32,W,SP,23,145.94,7
1529.75,25,24,nan,MA,24,51.49,8
2440.25,0,25,M,GO,19,122.01,6
1302.68,0,32,nan,RJ,24,65.13,5
1441.92,0,29,M,BA,27,72.1,3
2225.11,0,29,M,SP,27,111.26,4
1854.4,25,33,W,RJ,18,67.72,5
1800.02,25,29,W,RO,24,65.0,11
1080.34,0,19,M,AL,20,54.02,4
1086.41,0,29,M,RJ,22,54.32,6
922.03,0,34,M,PI,14,46.1,5
1285.02,0,36,nan,DF,19,64.25,6
2911.08,25,26,W,CE,23,120.55,11
2053.97,25,32,W,RS,26,77.7,9
1574.59,0,22,M,MG,17,78.73,6
1443.99,0,26,M,RS,21,72.2,9
1095.78,0,44,W,PI,18,54.79,4
2293.19,25,25,W,MG,15,89.66,7
2160.0,0,34,nan,SP,25,108.0,6
2299.64,25,18,W,SP,22,89.98,7
1963.96,0,35,M,MG,18,98.2,7
1945.4,25,29,nan,AM,14,72.27,6
2079.51,0,35,M,MG,22,103.98,6
994.01,25,27,W,PA,22,24.7,7
1917.44,25,33,nan,RS,19,70.87,9
1237.5,25,36,W,TO,6,36.88,8
2464.87,25,27,W,MG,22,98.24,8
1263.01,25,34,nan,SC,20,38.15,8
1962.33,0,33,O,RJ,22,98.12,13
1032.62,0,33,W,RS,21,51.63,4
1614.24,0,33,M,CE,23,80.71,2
513.5,0,29,M,PA,24,25.68,4
1532.31,0,31,M,MA,25,76.62,2
2020.96,0,29,M,MG,24,101.05,6
2479.12,25,34,W,PE,19,98.96,6
527.02,0,30,M,RS,19,26.35,0
2238.4,25,32,W,BA,25,86.92,9
1713.08,0,27,W,CE,18,85.65,4
2002.04,0,29,M,MG,23,100.1,5
2489.19,0,36,M,RN,18,124.46,10
3115.32,0,23,M,SP,16,155.77,6
557.63,0,29,M,PI,13,27.88,3
1836.4,0,29,M,SP,20,91.82,5
1734.97,0,26,M,MG,18,86.75,5
2124.97,0,22,M,MG,21,106.25,5
1805.98,0,32,W,MG,21,90.3,4
892.29,0,39,M,DF,12,44.61,3
2499.55,25,33,W,SP,19,99.98,6
2227.99,25,35,W,MG,18,86.4,5
848.34,0,32,nan,PI,19,42.42,5
1336.36,25,23,W,RJ,38,41.82,5
1940.45,0,38,O,PE,24,97.02,2
643.33,0,27,O,AC,21,32.17,3
300.91,0,36,nan,SE,21,15.05,4
1935.77,0,34,M,SP,22,96.79,4
2918.15,25,41,W,GO,20,120.91,10
2092.27,0,34,M,MG,29,104.61,8
2585.27,25,34,nan,PE,15,104.26,8
2673.37,25,29,W,SP,19,108.67,6
353.2,0,38,W,SE,18,17.66,4
1772.27,0,45,O,MA,18,88.61,3
532.35,0,31,W,PI,22,26.62,2
2070.95,0,32,O,SP,20,103.55,6
1040.3,25,27,W,PA,15,27.02,9
973.33,25,19,W,SC,20,23.67,5
1133.5,0,30,O,DF,14,56.68,7
1891.31,0,31,M,RJ,20,94.57,7
2303.66,25,26,W,SP,22,90.18,5
567.2,0,21,M,SE,18,28.36,6
1962.13,25,27,W,BA,22,73.11,5
636.5,0,34,M,PA,18,31.83,4
2702.12,25,30,W,GO,20,110.11,6
1892.61,0,41,nan,PR,15,94.63,4
2146.76,0,34,W,PE,17,107.34,4
1764.67,0,27,M,BA,21,88.23,5
1897.63,0,26,M,MG,22,94.88,7
2590.8,25,30,W,SP,21,104.54,5
1216.32,0,26,O,RJ,22,60.82,1
1986.37,25,26,W,PR,14,74.32,7
1176.37,0,34,M,SC,16,58.82,8
1102.35,25,30,W,SC,32,30.12,9
2158.96,0,28,M,BA,22,107.95,12
1396.17,0,31,M,RS,21,69.81,8
2065.05,0,23,M,SP,19,103.25,8
957.45,0,40,M,DF,20,47.87,5
2293.64,0,33,nan,SP,18,114.68,7
901.8,0,26,M,MS,19,45.09,8
2055.39,0,34,nan,MG,23,102.77,6
1998.1,25,31,W,RS,21,74.9,8
2566.66,25,28,W,BA,12,103.33,14
