spend_1m_baby;spend_2m_baby;spend_3m_baby;spend_4m_baby;spend_5m_baby;spend_6m_baby;spend_1m_clothes;spend_2m_clothes;spend_3m_clothes;spend_4m_clothes;spend_5m_clothes;spend_6m_clothes;spend_1m_health;spend_2m_health;spend_3m_health;spend_4m_health;spend_5m_health;spend_6m_health;spend_1m_pet;spend_2m_pet;spend_3m_pet;spend_4m_pet;spend_5m_pet;spend_6m_pet;spend_1m_groceries;spend_2m_groceries;spend_3m_groceries;spend_4m_groceries;spend_5m_groceries;spend_6m_groceries;spend_1m_eletronic;spend_2m_eletronic;spend_3m_eletronic;spend_4m_eletronic;spend_5m_eletronic;spend_6m_eletronic;sales;discount;profit;age;gender;cust_state;tenure;sales_prediction_bins;sales_prediction
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;45;15;30.0;55.0;10.0;160.0;0;0;0;0.0;0.0;0.0;3368.64;US$ 125.0;40.06;40;1.0;MA;6;8;1351.0247652020576
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0.0;0.0;10.0;0.0;0;0;0;0.0;0.0;0.0;2133.1;US$ 75.0;29.52;36;0.0;MG;10;4;1035.5803865901482
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;25;30;35.0;0.0;20.0;50.0;0;0;0;0.0;0.0;0.0;2001.62;US$ 50.0;48.08;34;0.0;RJ;7;3;992.4018254577918
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;55;135;120.0;10.0;40.0;130.0;0;0;0;0.0;0.0;0.0;1461.96;US$ 10.0;61.64;31;0.0;BA;7;1;919.7207354378098
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;10.0;95.0;25.0;20.0;0;0;0;0.0;0.0;0.0;2743.72;US$ 100.0;34.44;32;1.0;PB;6;6;1176.4856809241064
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;1603.7;US$ 45.0;33.58;25;0.0;PA;3;1;926.977129408916
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;2440.79;US$ 75.0;44.6;44;1.0;PR;1;6;1149.8244804764363
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;15;10;10.0;20.0;45.0;45.0;0;0;0;0.0;0.0;0.0;1543.75;US$ 45.0;30.64;27;0.0;PA;5;2;987.5534698384138
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;130;150;5.0;125.0;420.0;115.0;0;0;0;0.0;0.0;0.0;3689.14;US$ 100.0;80.77;35;0.0;MG;1;5;1108.8226140589777
0;0;0;0;0;0.0;25;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;20;5;10.0;10.0;0.0;55.0;0;0;0;0.0;0.0;0.0;2599.92;US$ 100.0;27.4;37;0.0;PA;5;6;1161.3373003660813
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;1017.61;US$ 0.0;49.86;23;1.0;SP;10;0;856.6466138237171
5;10;15;0;0;0.0;25;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;10.0;5.0;0.0;5.0;0;0;0;0.0;0.0;0.0;1018.44;US$ 5.0;44.9;27;0.0;SP;7;0;850.2075426994592
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;40;30;5.0;20.0;50.0;10.0;0;0;0;0.0;0.0;0.0;3055.04;US$ 100.0;49.7;38;0.0;PR;11;5;1091.2215801441334
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;1144.63;US$ 10.0;46.09;25;0.0;RJ;8;1;906.9119715171646
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;95;5;15.0;115.0;0.0;205.0;0;0;0;0.0;0.0;0.0;1705.43;US$ 15.0;68.57;28;0.0;CE;5;1;912.3204883824276
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;1565.64;US$ 45.0;31.72;31;0.0;MG;9;2;979.51886778173
5;0;0;5;5;5.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;55;135;0.0;40.0;240.0;380.0;0;0;0;0.0;0.0;0.0;3779.09;US$ 160.0;25.18;26;0.0;PA;4;9;1394.7990765001
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;5.0;170.0;15.0;150.0;0;0;0;0.0;0.0;0.0;3568.63;US$ 150.0;24.86;27;1.0;SP;8;8;1283.5383729626494
0;0;0;0;0;0.0;25;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0.0;5.0;10.0;0.0;0;0;0;0.0;0.0;0.0;2332.95;US$ 90.0;24.31;32;0.0;MA;5;4;1064.5127554082285
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;25;60;0.0;50.0;15.0;25.0;0;0;0;0.0;0.0;0.0;2684.68;US$ 90.0;41.55;32;;PR;11;5;1092.3132459146643
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;5.0;40.0;15.0;20.0;0;0;0;0.0;0.0;0.0;1405.89;US$ 35.0;33.89;25;1.0;SE;3;1;942.2292916653876
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;1761.77;US$ 80.0;6.33;24;1.0;PE;7;4;1037.689727364087
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;5.0;0.0;25.0;5.0;0;0;0;0.0;0.0;0.0;1575.61;US$ 40.0;37.2;27;0.0;RJ;4;2;977.2210109785708
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;170.0;165.0;190.0;15.0;0;0;0;0.0;0.0;0.0;3957.94;US$ 160.0;33.94;32;0.0;CE;5;9;1506.9047475614168
0;0;0;0;0;0.0;25;25.0;25.0;25.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;2164.54;US$ 65.0;41.06;36;1.0;SP;9;4;1058.1586420374233
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;5.0;25.0;0.0;0.0;0;0;0;0.0;0.0;0.0;2130.85;US$ 70.0;34.41;36;1.0;RJ;11;5;1085.9562241072215
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;90;5;20.0;225.0;260.0;145.0;0;0;0;0.0;0.0;1250.0;5218.48;US$ 125.0;130.71;44;1.0;PE;6;7;1247.838583999542
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;1691.62;US$ 55.0;27.89;27;;MG;6;4;1057.9241429439414
0;0;0;0;0;0.0;25;25.0;25.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;30.0;15.0;25.0;5.0;0;0;0;0.0;0.0;0.0;2256.74;US$ 65.0;45.58;34;1.0;MG;6;4;1057.3437780264371
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;50;100;5.0;320.0;30.0;210.0;0;0;0;0.0;0.0;0.0;3238.92;US$ 120.0;38.71;32;1.0;PA;7;8;1319.923996865061
0;0;0;0;0;0.0;25;25.0;75.0;50.0;50.0;25.0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;1251.16;US$ 15.0;46.31;24;0.0;RS;5;1;911.8818066247688
0;0;0;0;0;0.0;25;0.0;75.0;25.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;20;10;145.0;35.0;125.0;20.0;0;0;0;0.0;0.0;0.0;3338.42;US$ 120.0;43.58;31;0.0;SP;6;9;2301.148544977355
15;0;0;80;15;40.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;5;15;5.0;0.0;5.0;0.0;0;0;0;0.0;0.0;0.0;2112.67;US$ 60.0;43.52;29;0.0;PE;7;5;1079.971494300828
0;0;0;0;0;0.0;25;0.0;0.0;25.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;10.0;185.0;50.0;145.0;0;0;0;0.0;0.0;0.0;3413.36;US$ 140.0;27.25;27;1.0;RS;6;9;1661.0345725029276
0;0;0;0;0;0.0;25;0.0;0.0;25.0;25.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;50;110;15.0;30.0;235.0;5.0;0;0;0;0.0;0.0;0.0;3736.2;US$ 125.0;58.07;38;0.0;RJ;5;7;1237.4632156827874
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;25;15;0.0;65.0;150.0;25.0;0;0;0;0.0;0.0;0.0;2579.92;US$ 85.0;41.42;34;1.0;RJ;7;5;1107.6976934465922
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;50;20;60.0;115.0;30.0;55.0;0;0;0;0.0;0.0;0.0;1498.23;US$ 20.0;53.41;29;0.0;RS;3;0;886.2159232955437
0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;35;95;120.0;120.0;55.0;125.0;0;0;0;0.0;0.0;0.0;3545.44;US$ 115.0;58.73;33;1.0;SP;5;6;1178.0521480453938
