spend_1m_baby,spend_2m_baby,spend_3m_baby,spend_4m_baby,spend_5m_baby,spend_6m_baby,spend_1m_clothes,spend_2m_clothes,spend_3m_clothes,spend_4m_clothes,spend_5m_clothes,spend_6m_clothes,spend_1m_health,spend_2m_health,spend_3m_health,spend_4m_health,spend_5m_health,spend_6m_health,spend_1m_pet,spend_2m_pet,spend_3m_pet,spend_4m_pet,spend_5m_pet,spend_6m_pet,spend_1m_groceries,spend_2m_groceries,spend_3m_groceries,spend_4m_groceries,spend_5m_groceries,spend_6m_groceries,spend_1m_eletronic,spend_2m_eletronic,spend_3m_eletronic,spend_4m_eletronic,spend_5m_eletronic,spend_6m_eletronic,sales,discount,profit,age,gender,cust_state,tenure
5,0,0,0,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,180,20.0,10.0,15.0,40.0,0,0,0,0.0,0.0,0.0,1442.3,$ 4.0,66.93,30,0.0,MA,19
0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,883.96,$ 2.0,41.33,30,1.0,MG,20
0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,254.2551972063585,289.2551972063585,65.0,30.0,0,0,0,0.0,0.0,0.0,4900.67,$ 224.0,15.88,29,0.0,RJ,21
0,0,0,0,0,0.0,25,25.0,0.0,25.0,25.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,5.0,30.0,0.0,45.0,0,0,0,0.0,0.0,0.0,1547.48,$ 1.0,74.99,36,1.0,BA,18
0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0.0,10.0,0.0,45.0,0,0,0,0.0,0.0,0.0,1335.23,$ 13.0,52.41,37,0.0,PB,19
0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,5.0,0,0,0,0.0,0.0,0.0,1161.27,$ 4.0,53.3,36,1.0,PA,19
0,0,0,0,0,0.0,25,0.0,25.0,0.0,25.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.56296672552833,0.0,101.56296672552833,101.56296672552833,0,0,0,0.0,0.0,0.0,3089.5,$ 102.0,49.82,33,0.0,PR,24
0,0,0,0,0,0.0,0,0.0,0.0,447.901339158646,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,75,15.0,194.30044638621533,20.0,159.30044638621533,0,0,0,0.0,0.0,0.0,3475.97,$ 149.0,21.02,22,0.0,PA,24
0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,55,10.0,25.0,10.0,0.0,0,0,0,0.0,0.0,0.0,1381.88,$ 19.0,48.84,23,1.0,MG,19
0,0,0,0,0,0.0,0,0.0,1331.979976706315,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,443.9933255687717,443.9933255687717,448.9933255687717,443.9933255687717,0,0,0,0.0,0.0,0.0,9740.33,$ 444.0,33.28,33,,PA,22
0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,5.0,272.34777905806544,287.34777905806544,0.0,0,0,0,0.0,0.0,0.0,6417.05,$ 272.0,42.09,36,0.0,SP,20
0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,352.8965370806547,397.8965370806547,10.0,352.8965370806547,0,0,0,0.0,0.0,0.0,8061.51,$ 353.0,42.12,29,1.0,SP,21
